Team_Name,Opp_Name,Date,Game_Round,Team_Outcome,Team_Goals,Team_Points,Team_Score,Opp_Goals,Opp_Points,Opp_Score,Venue
SLIGO,DERRY,10/02/2001,"NFL, DIV 1  SB",LOSS,1,10,13,1,14,17,CELTIC PARK
ROSCOMMON,DUBLIN,10/02/2001,"NFL, DIV 1  SA",WIN,0,12,12,0,10,10,PARNELL PARK
CARLOW,KILDARE,10/02/2001,"NFL, DIV 2  SB",LOSS,0,7,7,0,11,11,DR CULLEN PARK
WICKLOW,LEITRIM,10/02/2001,"NFL, DIV 2  SA",WIN,2,9,15,2,8,14,AUGHRIM
MEATH,CAVAN,11/02/2001,"NFL, DIV 1  SB",LOSS,0,11,11,2,7,13,BREFFNI PARK
GALWAY,LOUTH,11/02/2001,"NFL, DIV 1  SA",WIN,2,17,23,0,12,12,PAIRC NA NGEAL
FERMANAGH,LAOIS,11/02/2001,"NFL, DIV 1  SB",LOSS,0,13,13,1,15,18,BREWSTER PARK
CLARE,MAYO,11/02/2001,"NFL, DIV 1  SB",LOSS,1,9,12,2,14,20,MCHALE PARK
OFFALY,KERRY,11/02/2001,"NFL, DIV 1  SA",WIN,1,18,21,0,10,10,TULLAMORE
DONEGAL,TYRONE,11/02/2001,"NFL, DIV 1  SA",LOSS,0,10,10,0,13,13,CROSSMAGLEN
WESTMEATH,ARMAGH,11/02/2001,"NFL, DIV 2  SA",LOSS,1,7,10,3,13,22,CROSSMAGLEN
LIMERICK,ANTRIM,11/02/2001,"NFL, DIV 2  SA",LOSS,0,8,8,1,7,10,KILLMALOCK
DOWN,LONGFORD,11/02/2001,"NFL, DIV 2  SB",WIN,0,15,15,0,10,10,NEWRY
WATERFORD,TIPPERARY,17/02/2001,"NFL, DIV 2  SB",LOSS,0,12,12,0,14,14,DUNGARVAN
MONAGHAN,WEXFORD,18/02/2001,"NFL, DIV 2  SB",TIE,2,8,14,2,8,14,UNKNOWN
LAOIS,CLARE,25/02/2001,"NFL, DIV 1  SB",TIE,0,9,9,1,6,9,"CUSACK PARK, ENNIS"
DONEGAL,DUBLIN,25/02/2001,"NFL, DIV 1  SA",LOSS,0,8,8,0,11,11,BALLYSHANNON
FERMANAGH,CAVAN,25/02/2001,"NFL, DIV 1  SB",WIN,2,6,12,1,8,11,KINGSCOURT
GALWAY,TYRONE,25/02/2001,"NFL, DIV 1  SA",WIN,0,18,18,1,13,16,DUGGAN PARK
OFFALY,LOUTH,25/02/2001,"NFL, DIV 1  SA",TIE,0,12,12,0,12,12,THE GAELIC GROUNDS
MEATH,DERRY,25/02/2001,"NFL, DIV 1  SB",TIE,0,8,8,0,8,8,PAIRC TAILTEAN
ROSCOMMON,KERRY,25/02/2001,"NFL, DIV 1  SA",WIN,0,11,11,1,5,8,DR HYDE PARK
SLIGO,MAYO,25/02/2001,"NFL, DIV 1  SB",TIE,1,5,8,0,8,8,MARKIEVICZ PARK
LONDON,ANTRIM,25/02/2001,"NFL, DIV 2  SA",LOSS,0,2,2,3,17,26,CASEMENT PARK
LIMERICK,ARMAGH,25/02/2001,"NFL, DIV 2  SA",LOSS,0,10,10,2,12,18,KILLMALOCK
WICKLOW,CORK,25/02/2001,"NFL, DIV 2  SA",LOSS,1,6,9,1,17,20,PAIRC UI RINN
CARLOW,DOWN,25/02/2001,"NFL, DIV 2  SB",LOSS,0,9,9,1,10,13,DR CULLEN PARK
KILDARE,WEXFORD,25/02/2001,"NFL, DIV 2  SB",WIN,1,13,16,1,8,11,NEWBRIDGE
TIPPERARY,LONGFORD,25/02/2001,"NFL, DIV 2  SB",LOSS,1,13,16,2,11,17,CLONMEL
WATERFORD,MONAGHAN,25/02/2001,"NFL, DIV 2  SB",LOSS,0,6,6,1,14,17,BALLYBAY
